q[Å⁻¹],dS/dO[cm⁻¹],stdev
1.322,0.17202341587293637,0.004040997780437352
1.341,0.1829161736967061,0.004109179358233255
1.360,0.19254572821641444,0.004576750719431193
1.379,0.20030659356726258,0.0053634718800140355
1.398,0.20570847205781,0.005892653408819447
1.417,0.20845006329955726,0.005708487817617601
1.436,0.20845550591984682,0.004746513883843794
1.455,0.20586779203344718,0.0033722575137918247
1.474,0.20100548219869677,0.0024093760316398877
1.493,0.19429772516458063,0.0025604788118384542
1.512,0.18621554000143978,0.003072663634694319
1.531,0.17721444856796487,0.003258866080485022
1.550,0.16769682341565434,0.0030898771211327783
1.569,0.15799475679654693,0.0027542794271224417
1.588,0.14836861803334866,0.002381972805460068
1.607,0.1390142240107785,0.002010477808951065
1.626,0.13007254030401857,0.0017550015782722007
1.645,0.12163864187081348,0.0017893774291229943
1.664,0.11376947104993783,0.0019894984596111665
1.683,0.10649139785081653,0.0020470740546522106
1.702,0.09980837862217622,0.0018372691175159188
1.721,0.09371026286252052,0.0015153874809675169
1.740,0.08817962919273986,0.0014191814855420226
1.759,0.08319536432667209,0.0015828046261873406
1.778,0.07873227400496559,0.0016649444075477625
1.797,0.07475780049896394,0.0014760408067004108
1.816,0.07122843790521803,0.0010960647281106025
1.835,0.06808880240998197,0.0008528557139940652
1.854,0.06527522330065579,0.0009854117007141465
1.873,0.06272360985926351,0.001169299928149414
1.892,0.06037919074492081,0.001168743109495663
1.911,0.05820454437479789,0.0010006302159352835
1.930,0.05618272700746643,0.0008108488529351132
1.949,0.05431412378819292,0.000738494303420005
1.968,0.052608107668148676,0.0007532697158155877
1.987,0.051072621862508584,0.0007510891079582898
2.007,0.04970554342825439,0.000710415389695865
2.025,0.04849086471633767,0.0006663629728524209
2.044,0.04740075163959647,0.0006525635758520079
2.063,0.046402272626772906,0.0006831214138884915
2.082,0.04546596629073541,0.0007462527151067441
2.101,0.04457301175560624,0.0007975749602168057
2.120,0.04371860774851924,0.0007909066063403673
2.139,0.042910773285780676,0.0007286574525967623
2.158,0.04216543360672506,0.0006840367307329591
2.177,0.04149972829887642,0.0007251451946780301
2.196,0.04092569676693391,0.0007962282624516673
2.215,0.04044597820631804,0.0007949036166451323
2.234,0.04005228757364448,0.00068921749452771
2.253,0.039726603307737814,0.0005510290479702833
2.272,0.03944446870114559,0.0005244092331984172
2.291,0.03917957839563594,0.0006129828112659687
2.310,0.03890875383563497,0.0006714862105954178
2.329,0.03861636745485887,0.0006302560204256132
2.348,0.03829724158079028,0.0005208625728343381
2.367,0.037957152491129395,0.00044696890008516797
2.386,0.03761047862410073,0.0004801585227255351
2.405,0.03727529185994268,0.0005490284844524052
2.424,0.03696712408231132,0.0005739997918052118
2.443,0.03669336896318961,0.0005416903712530055
2.462,0.03645038526381888,0.0004794557449301539
2.481,0.03622462997374538,0.00042252738019220743
2.500,0.03599771011794044,0.0003844760943008299
